Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11516557),LeBron James,11516557,CPT,19800,DEN@LAL 10/25/2018 10:30PM ET,LAL,53
C,Nikola Jokic (11516558),Nikola Jokic,11516558,CPT,17400,DEN@LAL 10/25/2018 10:30PM ET,DEN,52.5
SF/PF,Kyle Kuzma (11516559),Kyle Kuzma,11516559,CPT,13500,DEN@LAL 10/25/2018 10:30PM ET,LAL,30.94
SF/PF,LeBron James (11516524),LeBron James,11516524,UTIL,13200,DEN@LAL 10/25/2018 10:30PM ET,LAL,53
SG,Gary Harris (11516560),Gary Harris,11516560,CPT,12600,DEN@LAL 10/25/2018 10:30PM ET,DEN,33.75
PG,Lonzo Ball (11516561),Lonzo Ball,11516561,CPT,12300,DEN@LAL 10/25/2018 10:30PM ET,LAL,27.94
SG,Josh Hart (11516562),Josh Hart,11516562,CPT,11700,DEN@LAL 10/25/2018 10:30PM ET,LAL,32.44
C,Nikola Jokic (11516525),Nikola Jokic,11516525,UTIL,11600,DEN@LAL 10/25/2018 10:30PM ET,DEN,52.5
PG/SG,Jamal Murray (11516563),Jamal Murray,11516563,CPT,11100,DEN@LAL 10/25/2018 10:30PM ET,DEN,25.31
PF/C,Paul Millsap (11516564),Paul Millsap,11516564,CPT,10200,DEN@LAL 10/25/2018 10:30PM ET,DEN,29.56
SF/PF,Kyle Kuzma (11516526),Kyle Kuzma,11516526,UTIL,9000,DEN@LAL 10/25/2018 10:30PM ET,LAL,30.94
C,JaVale McGee (11516565),JaVale McGee,11516565,CPT,9000,DEN@LAL 10/25/2018 10:30PM ET,LAL,35
SG,Gary Harris (11516527),Gary Harris,11516527,UTIL,8400,DEN@LAL 10/25/2018 10:30PM ET,DEN,33.75
PG,Lonzo Ball (11516528),Lonzo Ball,11516528,UTIL,8200,DEN@LAL 10/25/2018 10:30PM ET,LAL,27.94
SG,Josh Hart (11516529),Josh Hart,11516529,UTIL,7800,DEN@LAL 10/25/2018 10:30PM ET,LAL,32.44
SF/PF,Trey Lyles (11516566),Trey Lyles,11516566,CPT,7800,DEN@LAL 10/25/2018 10:30PM ET,DEN,17.06
PG/SG,Jamal Murray (11516530),Jamal Murray,11516530,UTIL,7400,DEN@LAL 10/25/2018 10:30PM ET,DEN,25.31
PG,Monte Morris (11516567),Monte Morris,11516567,CPT,7200,DEN@LAL 10/25/2018 10:30PM ET,DEN,16.94
PF/C,Paul Millsap (11516531),Paul Millsap,11516531,UTIL,6800,DEN@LAL 10/25/2018 10:30PM ET,DEN,29.56
PF/C,Mason Plumlee (11516568),Mason Plumlee,11516568,CPT,6600,DEN@LAL 10/25/2018 10:30PM ET,DEN,18.44
SG/SF,Kentavious Caldwell-Pope (11516569),Kentavious Caldwell-Pope,11516569,CPT,6300,DEN@LAL 10/25/2018 10:30PM ET,LAL,11.19
C,JaVale McGee (11516532),JaVale McGee,11516532,UTIL,6000,DEN@LAL 10/25/2018 10:30PM ET,LAL,35
SF/PF,Juancho Hernangomez (11516570),Juancho Hernangomez,11516570,CPT,5700,DEN@LAL 10/25/2018 10:30PM ET,DEN,15.69
SF/PF,Trey Lyles (11516533),Trey Lyles,11516533,UTIL,5200,DEN@LAL 10/25/2018 10:30PM ET,DEN,17.06
SG/SF,Torrey Craig (11516571),Torrey Craig,11516571,CPT,5100,DEN@LAL 10/25/2018 10:30PM ET,DEN,13.92
PG,Monte Morris (11516534),Monte Morris,11516534,UTIL,4800,DEN@LAL 10/25/2018 10:30PM ET,DEN,16.94
PG/SG,Lance Stephenson (11516572),Lance Stephenson,11516572,CPT,4500,DEN@LAL 10/25/2018 10:30PM ET,LAL,22.94
PF/C,Mason Plumlee (11516535),Mason Plumlee,11516535,UTIL,4400,DEN@LAL 10/25/2018 10:30PM ET,DEN,18.44
SG/SF,Kentavious Caldwell-Pope (11516536),Kentavious Caldwell-Pope,11516536,UTIL,4200,DEN@LAL 10/25/2018 10:30PM ET,LAL,11.19
PF,Johnathan Williams (11516573),Johnathan Williams,11516573,CPT,4200,DEN@LAL 10/25/2018 10:30PM ET,LAL,17.62
SF/PF,Juancho Hernangomez (11516537),Juancho Hernangomez,11516537,UTIL,3800,DEN@LAL 10/25/2018 10:30PM ET,DEN,15.69
SF/PF,Michael Beasley (11516574),Michael Beasley,11516574,CPT,3600,DEN@LAL 10/25/2018 10:30PM ET,LAL,3.12
SG/SF,Torrey Craig (11516538),Torrey Craig,11516538,UTIL,3400,DEN@LAL 10/25/2018 10:30PM ET,DEN,13.92
PG/SG,Lance Stephenson (11516539),Lance Stephenson,11516539,UTIL,3000,DEN@LAL 10/25/2018 10:30PM ET,LAL,22.94
SG,Malik Beasley (11516575),Malik Beasley,11516575,CPT,3000,DEN@LAL 10/25/2018 10:30PM ET,DEN,8.75
PF,Johnathan Williams (11516540),Johnathan Williams,11516540,UTIL,2800,DEN@LAL 10/25/2018 10:30PM ET,LAL,17.62
SG,Sviatoslav Mykhailiuk (11516576),Sviatoslav Mykhailiuk,11516576,CPT,2700,DEN@LAL 10/25/2018 10:30PM ET,LAL,8.5
SF/PF,Michael Beasley (11516541),Michael Beasley,11516541,UTIL,2400,DEN@LAL 10/25/2018 10:30PM ET,LAL,3.12
C,Ivica Zubac (11516577),Ivica Zubac,11516577,CPT,2100,DEN@LAL 10/25/2018 10:30PM ET,LAL,3.62
SG,Malik Beasley (11516542),Malik Beasley,11516542,UTIL,2000,DEN@LAL 10/25/2018 10:30PM ET,DEN,8.75
SG,Sviatoslav Mykhailiuk (11516543),Sviatoslav Mykhailiuk,11516543,UTIL,1800,DEN@LAL 10/25/2018 10:30PM ET,LAL,8.5
PG,Rajon Rondo (11516578),Rajon Rondo,11516578,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,LAL,39.38
SG/SF,Will Barton (11516579),Will Barton,11516579,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,30.75
PG/SF,Brandon Ingram (11516580),Brandon Ingram,11516580,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,LAL,24.75
PG,Isaiah Thomas (11516581),Isaiah Thomas,11516581,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,0
C,Isaac Bonga (11516582),Isaac Bonga,11516582,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,LAL,0
C,Moritz Wagner (11516583),Moritz Wagner,11516583,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,LAL,0
SG,Alex Caruso (11516584),Alex Caruso,11516584,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,LAL,0
PF,Tyler Lydon (11516585),Tyler Lydon,11516585,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,1.62
C,Thomas Welsh (11516586),Thomas Welsh,11516586,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,2.75
PG,DeVaughn Akoon-Purcell (11516587),DeVaughn Akoon-Purcell,11516587,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,1
SF/PF,Michael Porter Jr. (11516588),Michael Porter Jr.,11516588,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,0
SF/PF,Jarred Vanderbilt (11516589),Jarred Vanderbilt,11516589,CPT,1500,DEN@LAL 10/25/2018 10:30PM ET,DEN,0
C,Ivica Zubac (11516544),Ivica Zubac,11516544,UTIL,1400,DEN@LAL 10/25/2018 10:30PM ET,LAL,3.62
PG,Rajon Rondo (11516545),Rajon Rondo,11516545,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,LAL,39.38
SG/SF,Will Barton (11516546),Will Barton,11516546,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,30.75
PG/SF,Brandon Ingram (11516547),Brandon Ingram,11516547,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,LAL,24.75
PG,Isaiah Thomas (11516548),Isaiah Thomas,11516548,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,0
C,Isaac Bonga (11516549),Isaac Bonga,11516549,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,LAL,0
C,Moritz Wagner (11516550),Moritz Wagner,11516550,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,LAL,0
SG,Alex Caruso (11516551),Alex Caruso,11516551,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,LAL,0
PF,Tyler Lydon (11516552),Tyler Lydon,11516552,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,1.62
C,Thomas Welsh (11516553),Thomas Welsh,11516553,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,2.75
PG,DeVaughn Akoon-Purcell (11516554),DeVaughn Akoon-Purcell,11516554,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,1
SF/PF,Michael Porter Jr. (11516555),Michael Porter Jr.,11516555,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,0
SF/PF,Jarred Vanderbilt (11516556),Jarred Vanderbilt,11516556,UTIL,1000,DEN@LAL 10/25/2018 10:30PM ET,DEN,0
